Original,Model Correction,DetectErreur Correction,DE Modified
"A la fin, je voudrais que l’enseignement séparé est un methode vieille qui ne corresponde pas avec le
monde moderne."," la fin, je voudrais que l’enseignement séparé soit une méthode vieille qui ne correspond pas au monde moderne.",N/A,N/A
"Pour conclusion, les garçons et les filles sont different mais ce sont ces differences qui sont important
et qui nous permettent d’être plus sage.","Pour conclure, les garçons et les filles sont différents, mais ce sont ces différences qui sont importantes et qui nous permettent d’être plus sages.",N/A,N/A
"Par exemple les garçons peuvent apprendre la creativite et
les filles peuvent mieux travaille en group.",Par exemple les garçons peuvent apprendre la créativité et les filles peuvent mieux travailler en groupe.,N/A,N/A
On peut profiter beaucoup l’un d’autre.,On peut profiter beaucoup l’un de l’autre.,N/A,N/A
"Nous vivons
ensemble, l’éducation ensemble est n chose naturelle.","Nous vivons ensemble, l’éducation ensemble n'est pas chose naturelle.",N/A,N/A
"Je suis contre l’enseignement separe parce
que l’enseignement co-educatif peut nous donne beaucoup plus.",Je suis contre l’enseignement séparé parce que l’enseignement co-educatif peut nous donner beaucoup plus.,N/A,N/A
"---

Partir étudier à l’étranger, pour ou contre?","Partir étudier à l’étranger, pour ou contre ?",N/A,N/A
"Personnellement, je suis pour partir étudier à l’étranger parce que je trouve que c’est une expérince
très enrichissante.","Personnellement, je suis pour partir étudier à l’étranger parce que je trouve que c’est une expérience très enrichissante.",N/A,N/A
"Tout d’abord, pour bien apprendre une langue il faut la pratiquer tous les jours.","Tout d’abord, pour bien apprendre une langue, il faut la pratiquer tous les jours.",N/A,N/A
L’apprentissage de la langue sur place est la meilleure solution pour devenir bilingue.,L’apprentissage de la langue sur place est la meilleure solution pour devenir bilingue.,N/A,N/A
"Dans la vie
professionnelle il est toujours bien vu de parler plusieurs langues mais cela aussi peut faciliter vos
voyages, et les rencontres avec des personnes venant d’autres pays.","Dans la vie professionnelle il est toujours bien vu de parler plusieurs langues, mais cela aussi peut faciliter vos voyages et les rencontres avec des personnes venant d’autres pays.",N/A,N/A
Il peut être intéressant de voir d’autres mode de vie et d’apprendre une nouvelle culture.,Il peut être intéressant de voir d’autres modes de vie et d’apprendre une nouvelle culture.,N/A,N/A
"On s’ouvre
au monde et aux autres – on apprend à connaitre une culture en profondeur ex.",On s’ouvre au monde et aux autres – on apprend à connaître une culture en profondeur ex.,N/A,N/A
"cinéma, radion,
télévision, nourriture, fêtes et vie de tous les jours.","Film, radio, télévision, nourriture, fêtes et vie de tous les jours.",N/A,N/A
"---

Partir étudier à l’étranger, pour ou contre?","Partir étudier à l’étranger, pour ou contre ?",N/A,N/A
"D’après moi les études en France ou dans un autre pays étranger est très bon choix pour les
personnes qui veulent apprendre un langue étrangère.",D’après moi les études en France ou dans un autre pays étranger est un très bon choix pour les personnes qui veulent apprendre une langue étrangère.,N/A,N/A
"Les arguments pour ce sont aussi : rencontrer les nouvelles personnes, visiter le pays, connaître la
culture de pays ou nous sommes.","Les arguments pour ce sont aussi : rencontrer les nouvelles personnes, visiter le pays, connaître la culture du pays ou nous sommes.",N/A,N/A
"La personne qui étudie à l’étranger a le contact fixe avec une langue et grâce à ça elle peut connaître
la langue vive.",La personne qui étudie à l’étranger a le contact fixe avec une langue et grâce à ça elle peut connaître la langue vive.,N/A,N/A
"Malheureusement, cette personne est loin de sa maison elle n’a pas des amies et elle reste sa vie
dans le pays maternelle.","Malheureusement, cette personne est loin de sa maison elle n’a pas des amies et elle reste sa vie dans le pays maternelle.",N/A,N/A
Les coûts de vie sont chèr et c’est difficile pour des personnes qui habitent dans les pays pauvres.,Les coûts de vie sont chers et c’est difficile pour des personnes qui habitent dans des pays pauvres.,N/A,N/A
"Parfois la situation dans un pays est difficile et compliquée par exemple la politique ou la situation
sociale.",Parfois la situation dans un pays est difficile et compliquée par exemple la politique ou la situation sociale.,N/A,N/A
Ce sont des nuances importantes que nous pouvons respectées.,Ce sont des nuances importantes que nous pouvons respecter.,N/A,N/A
En généal il y a beaucoup de qualité quand on part à l’étranger pour apprendre la langue.,En général il y a beaucoup de qualité quand on part à l’étranger pour apprendre la langue.,N/A,N/A
"La
meilleure solution pour très bien connaître la langue c’est séjour dans un autre pays.",La meilleure solution pour très bien connaître la langue est de séjourner dans un autre pays.,N/A,N/A
"Je
recommender les études à l’étranger parce que c’est bon choix.",Je recommande d'étudier à l’étranger parce que c’est un bon choix.,N/A,N/A
"---

Pensez-vous que tous les musées devraient être gratuits?",--- Pensez-vous que tous les musées devraient être gratuits ?,N/A,N/A
"Il y a des musées qui sont gratuits, mais il y a aussi beaucoup d’eux qui ne sont pas.","Il y a des musées qui sont gratuits, mais il y a aussi beaucoup d’entre eux qui ne le sont pas.",N/A,N/A
"Au même temps
il y a de moins en moins de gens qui viennent aux musées.","Au même temps, il y a de moins en moins de gens qui viennent aux musées.",N/A,N/A
"Est-ce que tous les musées devraient être
gratuits pour encourager les gens à les visiter?",Est-ce que tous les musées devraient être gratuits pour encourager les gens à les visiter ?,N/A,N/A
"D’abord, les musées, ou on doit payer pour les visiter sont souvent plus intéressants que ces qui sont
gratuits.","D’abord, les musées, ou on doit payer pour les visiter, sont souvent plus intéressants que ceux qui sont gratuits.",N/A,N/A
"Les propriéteurs peuvent faire plus de choses pour atirer les visiteurs, parce q’ils ont plus de
l’argent.","Les propriétaires peuvent faire plus de choses pour atirer les visiteurs, parce qu’ils ont plus d’argent.",N/A,N/A
D’autre côté les musées gratuits pourraient avoir plus de visiteurs.,D’autre part les musées gratuits pourraient avoir plus de visiteurs.,N/A,N/A
"Les gens deviendraient plus
intéressés à la culture.",Les gens deviendraient plus intéressés par la culture.,N/A,N/A
Ça pourrait améliorer la niveau d’éducation en pays.,a pourrait améliorer le niveau d’éducation dans les pays.,N/A,N/A
Mais on ne peut pas être sûr que tout le monde veulent visiter les musées qui serait gratuits.,Mais on ne peut pas être sûr que tout le monde veulent visiter les musées qui seraient gratuits.,N/A,N/A
Maintenant il y a aussi beaucoup d’eux et les gens ne les visitent pas.,Maintenant il y a aussi beaucoup d’entre eux et les gens qui ne les visitent pas.,N/A,N/A
"En plus, il y a aussi des musées qui sont très populaires malgré que les billets pour les visiter sont
chers – par example Auschwitz en Pologne.","En plus, il y a aussi des musées qui sont très populaires malgré que les billets pour les visiter sont chers – par exemple Auschwitz en Pologne.",N/A,N/A
"Si ces musées étaient gratuits, ce serait pas possible de
les visiter dans quelques années.","Si ces musées étaient gratuits, ce ne serait pas possible de les visiter dans quelques années.",N/A,N/A
"Je pense, que les musées ne devraient pas être gratuits.","Je pense, que les musées ne devraient pas être gratuits.",N/A,N/A
"Les propriéteurs doivent avoir l’argent pour
les améliorer.",Les propriétaires doivent avoir l’argent pour les améliorer.,N/A,N/A
"Je crois que les gens qui ne viennent pas aux musées maintenent, n’y viendraient pas
s’ils étaient gratuits, parce qu’ils ne sont pas interessés à la culture.","Je crois que les gens qui ne viennent pas aux musées maintenent, n’y viendraient pas s’ils étaient gratuits, parce qu’ils ne sont pas intéressés par la culture.",N/A,N/A
"C’est aussi mieux de payer quelques euros et visiter le musée qui est en bon état, que voire le musée
gratuit qui est négligé.","C’est aussi mieux de payer quelques euros et de visiter le musée qui est en bon état, que voire le musée gratuit qui est négligé.",N/A,N/A
"---

Partir étudier à l’étranger, pour ou contre?","Partir étudier à l’étranger, pour ou contre ?",N/A,N/A
Partir étudier à l’étranger c’est une bonne idée pour les étudiants de langues et les autres.,Partir étudier à l’étranger c’est une bonne idée pour les étudiants de langues et les autres.,N/A,N/A
"En deux
cas, on approfondit la langue et la filière d’études.","En deux cas, on approfondit la langue et la filière d’études.",N/A,N/A
"Pour les polonais c’est un peu plus complique d’aller à l’étranger pour étudie parce qu’on a des
études gratuites en Pologne.","Pour les Polonais, c’est un peu plus compliqué d’aller à l’étranger pour étudier parce qu’on a des études gratuites en Pologne.",N/A,N/A
"A cause de cela, beaucoup de gens restent ici pour faire les etudes."," cause de cela, beaucoup de gens restent ici pour faire des études.",N/A,N/A
"C’est un grand desavantage pour les gens pauvres car les études aux Etats Unis ou Angleterre
coûtent la fortune.","C’est un grand désavantage pour les gens pauvres, car les études aux États-Unis ou en Angleterre coûtent la fortune.",N/A,N/A
Parfois les étudiantes n’aiment pas rester aussi loin de leur familles.,Parfois les étudiantes n’aiment pas rester aussi loin de leur famille.,N/A,N/A
"C’est vrai que dans nouvelle
environnement on peut sentir seul très rapide.","C’est vrai que dans un nouvel environnement, on peut se sentir seul très rapidement.",N/A,N/A
"Les étudiantes qui decident aller faire ces études,
doivent être préparés pour changement de la culture.","Les étudiantes qui décident d'aller faire ces études, doivent être préparées pour un changement de culture.",N/A,N/A
"C’est-à-dire changement de tous les choses
qu’on connait en générale et aussi les choses plus élémentaire comme la nourriture ou le transport
en commun.",C’est-à-dire le changement de toutes les choses qu’on connait en général et aussi les choses plus élémentaires comme la nourriture ou le transport en commun.,N/A,N/A
"Mais cela fait partie de notre apprentissage des autres cultures, des autres nationalité
etc.","Mais cela fait partie de notre apprentissage des autres cultures, des autres nationalités, etc.",N/A,N/A
"En générale, je suis pour faire autant des voyages que possible donc je suis aussi « pour » pour aller à
l’étranger.","En général, je suis pour faire autant de voyages que possible donc je suis aussi « pour » aller à l’étranger.",N/A,N/A
J’ai déjà fait mes études en France donc je peux dire hônnettement que je recommande.,J’ai déjà fait mes études en France donc je peux dire hônnettement ce que je recommande.,N/A,N/A
Les études en France m’ont donné beaucoup et je vais se souvenir cela jusqu’à la fin de ma vie.,Les études en France m’ont beaucoup donné et je vais me souvenir de cela jusqu’à la fin de ma vie.,N/A,N/A
"Je
peux dire maintenant que je comprends plus la culture française.",Je peux dire maintenant que je comprends plus la culture française.,N/A,N/A
"Je vois bien les différence entre la
Pologne et la France.",Je vois bien les différences entre la Pologne et la France.,N/A,N/A
Je peux me communiquer en deux langues étrangères facilement.,Je peux me communiquer en deux langues étrangères facilement.,N/A,N/A
"J’ai appris
beaucoup sur la littérature ou les courants artistiques en France.",J’ai beaucoup appris sur la littérature ou les courants artistiques en France.,N/A,N/A
"C’était très inspirant de voir, de
visiter tout les choses à Paris que j’avais appris pendant des année de mon apprentissage de français.","C’était très inspirant de voir, de visiter toutes les choses à Paris que j’avais apprises pendant des années de mon apprentissage de français.",N/A,N/A
